student_id,event_id,attended,rating,feedback
S0109,E112,1,2,The audio was really bad.
S0925,E099,1,2,The audio was really bad.
S0682,E122,1,2,Didn't learn anything.
S0649,E126,1,3,"Nothing special, but not bad."
S0955,E148,0,0,
S0067,E088,1,4,Best event of the year!
S0658,E144,1,2,Waste of time.
S0266,E030,1,1,Terrible organization.
S0092,E088,0,0,
S0960,E049,1,5,Great speakers and organization.
S0131,E081,1,5,Best event of the year!
S0002,E080,1,5,Super informative and fun.
S0195,E100,1,3,Average experience.
S0817,E033,0,0,
S0680,E057,1,4,The event was amazing!
S0552,E118,1,2,The audio was really bad.
S0858,E057,1,4,Really enjoyed it.
S0616,E073,1,1,Didn't learn anything.
S0328,E080,0,0,
S0706,E032,1,5,Loved the vibe.
S0647,E056,1,3,Decent event.
S0061,E086,1,2,Waste of time.
S0718,E014,1,4,Best event of the year!
S0402,E077,1,1,Didn't learn anything.
S0402,E087,1,4,Great speakers and organization.
S0776,E101,1,1,Didn't learn anything.
S0745,E073,1,2,Didn't learn anything.
S0404,E025,1,3,Could be better organized.
S0887,E014,1,4,Best event of the year!
S0168,E148,1,4,Best event of the year!
S0495,E075,1,2,Waste of time.
S0824,E051,1,3,Could be better organized.
S0105,E038,1,4,Best event of the year!
S0862,E044,1,1,The audio was really bad.
S0998,E122,1,1,Terrible organization.
S0528,E087,0,0,
S0445,E039,1,2,Terrible organization.
S0122,E062,1,4,Great speakers and organization.
S0705,E045,1,1,Very boring.
S0886,E098,1,4,Great speakers and organization.
S0012,E031,1,1,Terrible organization.
S0501,E131,1,1,Didn't learn anything.
S0587,E147,1,3,It was okay.
S0814,E047,1,4,Best event of the year!
S0720,E112,1,5,Really enjoyed it.
S0102,E084,1,5,Really enjoyed it.
S0416,E006,1,5,Super informative and fun.
S0803,E136,1,1,Didn't learn anything.
S0858,E150,0,0,
S0731,E032,1,1,Waste of time.
S0883,E047,1,5,Loved the vibe.
S0820,E081,1,1,Waste of time.
S0589,E053,1,1,Didn't learn anything.
S0263,E009,1,1,Didn't learn anything.
S0306,E094,0,0,
S0176,E109,1,2,The audio was really bad.
S0048,E133,1,5,Loved the vibe.
S0144,E148,1,3,Could be better organized.
S0933,E091,0,0,
S0552,E131,1,1,Terrible organization.
S0243,E010,1,2,The audio was really bad.
S0877,E056,1,5,Super informative and fun.
S0222,E092,1,2,Didn't learn anything.
S0433,E020,0,0,
S0262,E067,1,2,Very boring.
S0468,E022,1,4,Best event of the year!
S0147,E138,1,1,The audio was really bad.
S0649,E050,1,5,Best event of the year!
S0664,E131,0,0,
S0168,E108,1,3,Decent event.
S0389,E007,0,0,
S0254,E020,1,1,Didn't learn anything.
S0113,E141,1,1,The audio was really bad.
S0656,E023,1,3,Average experience.
S0150,E058,1,1,Terrible organization.
S0387,E057,1,1,Terrible organization.
S0180,E135,1,5,Loved the vibe.
S0098,E136,1,5,Great speakers and organization.
S0565,E070,0,0,
S0102,E013,1,3,Decent event.
S0186,E089,0,0,
S0565,E104,1,5,Really enjoyed it.
S0266,E003,0,0,
S0731,E040,1,2,Very boring.
S0582,E069,1,3,"Nothing special, but not bad."
S0695,E108,1,2,Very boring.
S0363,E120,0,0,
S0294,E071,1,5,Best event of the year!
S0903,E059,1,1,The audio was really bad.
S0417,E081,1,1,Terrible organization.
S0748,E062,1,2,Didn't learn anything.
S0059,E022,1,5,Loved the vibe.
S0828,E003,1,5,Best event of the year!
S0140,E123,1,5,Best event of the year!
S0694,E137,1,4,The event was amazing!
S0632,E049,1,4,Best event of the year!
S0548,E089,1,5,Best event of the year!
S0624,E011,0,0,
S0460,E044,0,0,
S0926,E058,1,1,The audio was really bad.
S0860,E035,0,0,
S0362,E014,1,4,Loved the vibe.
S0175,E096,1,3,"Nothing special, but not bad."
S0852,E139,1,3,Average experience.
S0495,E076,1,2,Terrible organization.
S0756,E146,1,2,The audio was really bad.
S0952,E132,1,4,Super informative and fun.
S0869,E125,1,3,It was okay.
S0631,E118,1,3,Average experience.
S0110,E002,1,2,Very boring.
S0364,E003,1,4,Loved the vibe.
S0203,E022,0,0,
S0527,E040,1,1,Very boring.
S0008,E040,1,2,Very boring.
S0405,E096,1,3,Decent event.
S0914,E047,0,0,
S0832,E069,1,4,Best event of the year!
S0860,E113,1,2,The audio was really bad.
S0766,E112,1,3,"Nothing special, but not bad."
S0114,E049,1,1,Waste of time.
S0405,E108,1,1,Waste of time.
S0683,E051,1,3,It was okay.
S0432,E126,0,0,
S0508,E033,1,4,Super informative and fun.
S0744,E100,1,1,Terrible organization.
S0812,E006,1,2,The audio was really bad.
S0513,E004,1,1,The audio was really bad.
S0440,E003,1,4,Great speakers and organization.
S0289,E125,1,4,Really enjoyed it.
S0633,E040,0,0,
S0192,E064,1,1,The audio was really bad.
S0718,E064,1,2,Very boring.
S0724,E027,0,0,
S0626,E047,1,5,Best event of the year!
S0650,E039,1,1,Waste of time.
S0411,E010,1,2,Waste of time.
S0437,E005,0,0,
S0205,E024,1,4,Loved the vibe.
S0538,E079,1,2,The audio was really bad.
S0437,E123,1,5,Loved the vibe.
S0660,E014,1,1,The audio was really bad.
S0373,E072,1,4,Really enjoyed it.
S0328,E013,1,1,Terrible organization.
S0054,E083,1,3,Decent event.
S0287,E026,1,2,The audio was really bad.
S0972,E126,1,3,Average experience.
S0115,E025,1,5,Really enjoyed it.
S0340,E093,1,5,Super informative and fun.
